0.000	0.258	inactive
0.258	0.500	speech
0.500	1.000	music
1.000	1.500	inactive
1.500	1.790	inactive
1.790	2.000	speech
2.000	2.500	music
2.500	3.000	inactive
3.000	3.450	inactive
3.450	3.500	speech
3.500	4.000	music
4.000	4.500	inactive
4.500	4.758	inactive
4.758	5.000	speech
5.000	5.500	music
5.500	6.000	inactive
6.000	6.500	inactive
6.500	7.000	music
7.000	7.500	inactive
7.500	8.000	inactive
8.000	8.500	music
8.500	9.000	inactive
9.000	9.500	speech
9.500	10.000	music
10.000	10.500	inactive
10.500	11.000	speech
11.000	11.500	music
11.500	12.000	inactive
12.000	12.500	speech
12.500	13.000	music
13.000	13.500	inactive
13.500	14.000	speech
14.000	14.500	music
14.500	15.000	inactive
15.000	15.014	inactive
15.014	15.500	speech
15.500	16.000	music
16.000	16.500	inactive
16.500	16.578	inactive
16.578	17.000	speech
17.000	17.500	music
17.500	18.000	inactive
18.000	18.500	speech
18.500	19.000	music
19.000	19.500	inactive
19.500	20.000	speech
20.000	20.500	music
20.500	21.000	inactive
21.000	21.500	speech
21.500	22.000	music
22.000	22.500	inactive
22.500	23.000	speech
23.000	23.500	music
23.500	24.000	inactive
24.000	24.500	speech
24.500	25.000	music
25.000	25.500	inactive
25.500	26.000	speech
26.000	26.500	music
26.500	27.000	inactive
27.000	27.354	speech
27.354	27.500	inactive
27.500	28.000	music
28.000	28.500	inactive
28.500	29.000	speech
29.000	29.500	music
29.500	30.000	inactive
