0.000	0.500	inactive
0.500	1.000	music
1.000	1.014	inactive
1.014	1.500	speech
1.500	2.000	music
2.000	2.500	speech
2.500	3.000	music
3.000	3.500	speech
3.500	4.000	music
4.000	4.500	speech
4.500	5.000	music
5.000	5.500	speech
5.500	6.000	music
6.000	6.230	speech
6.230	6.362	inactive
6.362	6.500	speech
6.500	7.000	music
7.000	7.500	speech
7.500	8.000	music
8.000	8.500	speech
8.500	9.000	music
9.000	9.500	speech
9.500	10.000	music
10.000	10.406	speech
10.406	10.500	inactive
10.500	11.000	music
11.000	11.500	inactive
11.500	12.000	music
12.000	12.274	inactive
12.274	12.500	speech
12.500	13.000	music
13.000	13.500	speech
13.500	14.000	music
14.000	14.500	speech
14.500	15.000	music
15.000	15.500	speech
15.500	16.000	music
16.000	16.500	speech
16.500	17.000	music
17.000	17.170	speech
17.170	17.398	inactive
17.398	17.500	speech
17.500	18.000	music
18.000	18.500	speech
18.500	19.000	music
19.000	19.500	speech
19.500	20.000	music
20.000	20.500	speech
20.500	21.000	music
21.000	21.500	speech
21.500	22.000	music
22.000	22.500	speech
22.500	23.000	music
23.000	23.178	speech
23.178	23.500	inactive
23.500	24.000	music
24.000	24.386	inactive
24.386	24.500	speech
24.500	25.000	music
25.000	25.500	speech
25.500	26.000	music
26.000	26.500	speech
26.500	27.000	music
27.000	27.500	speech
27.500	28.000	music
28.000	28.500	speech
28.500	29.000	music
29.000	29.500	speech
29.500	30.000	music
