0.000	0.578	inactive
0.578	1.000	speech
1.000	2.000	music
2.000	3.000	inactive
3.000	3.258	inactive
3.258	4.000	speech
4.000	5.000	music
5.000	6.000	inactive
6.000	6.290	inactive
6.290	7.000	speech
7.000	8.000	music
8.000	9.000	inactive
9.000	9.450	inactive
9.450	10.000	speech
10.000	11.000	music
11.000	12.000	inactive
12.000	12.258	inactive
12.258	13.000	speech
13.000	14.000	music
14.000	15.000	inactive
15.000	15.514	inactive
15.514	16.000	speech
16.000	17.000	music
17.000	18.000	inactive
18.000	19.000	speech
19.000	20.000	music
20.000	21.000	inactive
21.000	21.854	speech
21.854	22.000	inactive
22.000	23.000	music
23.000	24.000	inactive
24.000	25.000	speech
25.000	26.000	music
26.000	27.000	inactive
27.000	28.000	speech
28.000	29.000	music
29.000	30.000	inactive
